cast_number,time,sample_time,sea_water_temperature,depth,mass_concentration_of_oxygen_in_sea_water
--,UTC,UTC,degree_C,m,mg * L^-1
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:07.00Z,9.1123,116.489,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:07.25Z,9.1123,116.489,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:07.50Z,9.1124,116.487,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:07.75Z,9.1123,116.487,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:08.00Z,9.1125,116.489,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:08.25Z,9.1123,116.489,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:08.50Z,9.1123,116.488,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:08.75Z,9.1124,116.487,0.50335
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:09.00Z,9.1123,116.489,0.50399
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:09.25Z,9.1123,116.487,0.50078
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:09.50Z,9.1124,116.488,0.5027
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:09.75Z,9.1123,116.489,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:10.00Z,9.1123,116.487,0.50399
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:10.25Z,9.1124,116.486,0.50206
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:10.50Z,9.1123,116.488,0.50045
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:10.75Z,9.1124,116.487,0.50399
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:11.00Z,9.1123,116.485,0.50206
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:11.25Z,9.1123,116.487,0.49852
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:11.50Z,9.1123,116.486,0.50432
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:11.75Z,9.1123,116.488,0.49852
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:12.00Z,9.1124,116.486,0.5056
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:12.25Z,9.1123,116.487,0.50045
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:12.50Z,9.1123,116.488,0.50496
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:12.75Z,9.1125,116.488,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:13.00Z,9.1123,116.486,0.50303
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:13.25Z,9.1123,116.488,0.50045
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:13.50Z,9.1125,116.487,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:13.75Z,9.1125,116.484,0.5027
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:14.00Z,9.1123,116.484,0.50335
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:14.25Z,9.1123,116.485,0.50078
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:14.50Z,9.1123,116.487,0.49852
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:14.75Z,9.1123,116.487,0.50045
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:15.00Z,9.1123,116.487,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:15.25Z,9.1124,116.484,0.50271
