cast_number,time,sample_time,sea_water_pressure,sea_water_temperature,sea_water_practical_salinity,depth,mass_concentration_of_oxygen_in_sea_water
--,UTC,UTC,dbar,degree_C,PSU,m,mg * L^-1
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:07.00Z,117.502,9.1123,NaN,116.489,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:07.25Z,117.502,9.1123,NaN,116.489,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:07.50Z,117.5,9.1124,NaN,116.487,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:07.75Z,117.5,9.1123,NaN,116.487,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:08.00Z,117.502,9.1125,NaN,116.489,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:08.25Z,117.502,9.1123,NaN,116.489,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:08.50Z,117.501,9.1123,NaN,116.488,NaN
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:08.75Z,117.5,9.1124,30.2192,116.487,0.50335
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:09.00Z,117.502,9.1123,30.2189,116.489,0.50399
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:09.25Z,117.5,9.1123,30.2189,116.487,0.50078
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:09.50Z,117.501,9.1124,30.2192,116.488,0.5027
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:09.75Z,117.502,9.1123,30.2188,116.489,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:10.00Z,117.5,9.1123,30.2189,116.487,0.50399
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:10.25Z,117.498,9.1124,30.219,116.486,0.50206
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:10.50Z,117.501,9.1123,30.2189,116.488,0.50045
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:10.75Z,117.499,9.1124,30.2189,116.487,0.50399
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:11.00Z,117.497,9.1123,30.2192,116.485,0.50206
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:11.25Z,117.499,9.1123,30.2191,116.487,0.49852
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:11.50Z,117.498,9.1123,30.2189,116.486,0.50432
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:11.75Z,117.501,9.1123,30.2192,116.488,0.49852
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:12.00Z,117.498,9.1124,30.2191,116.486,0.5056
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:12.25Z,117.499,9.1123,30.2192,116.487,0.50045
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:12.50Z,117.501,9.1123,30.2189,116.488,0.50496
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:12.75Z,117.5,9.1125,30.2192,116.488,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:13.00Z,117.498,9.1123,30.2192,116.486,0.50303
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:13.25Z,117.501,9.1123,30.2189,116.488,0.50045
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:13.50Z,117.499,9.1125,30.2189,116.487,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:13.75Z,117.497,9.1125,30.2191,116.484,0.5027
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:14.00Z,117.497,9.1123,30.2192,116.484,0.50335
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:14.25Z,117.498,9.1123,30.2192,116.485,0.50078
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:14.50Z,117.499,9.1123,30.2188,116.487,0.49852
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:14.75Z,117.499,9.1123,30.2192,116.487,0.50045
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:15.00Z,117.499,9.1123,30.219,116.487,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:15.25Z,117.497,9.1124,30.2188,116.484,0.50271
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:15.50Z,117.499,9.1124,30.2188,116.487,0.49884
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:15.75Z,117.496,9.1123,30.2192,116.483,0.50303
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:16.00Z,117.498,9.1124,30.2192,116.485,0.50367
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:16.25Z,117.498,9.1123,30.2192,116.485,0.50528
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:16.50Z,117.497,9.1124,30.2189,116.484,0.5011
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:16.75Z,117.497,9.1124,30.2189,116.484,0.50335
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:17.00Z,117.498,9.1123,30.2189,116.486,0.50399
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:17.25Z,117.497,9.1123,30.2191,116.484,0.50303
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:17.50Z,117.498,9.1123,30.2192,116.486,0.49917
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:17.75Z,117.498,9.1124,30.2189,116.486,0.50496
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:18.00Z,117.498,9.1123,30.219,116.486,0.5011
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:18.25Z,117.497,9.1123,30.2189,116.484,0.50174
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:18.50Z,117.497,9.1124,30.2189,116.484,0.50271
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:18.75Z,117.498,9.1123,30.2192,116.486,0.50271
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:19.00Z,117.497,9.1123,30.2192,116.484,0.5011
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:19.25Z,117.496,9.1124,30.2189,116.483,0.50335
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:19.50Z,117.497,9.1123,30.2189,116.484,0.50335
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:19.75Z,117.499,9.1124,30.2192,116.487,0.50335
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:20.00Z,117.498,9.1125,30.219,116.486,0.50528
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:20.25Z,117.497,9.1124,30.2189,116.484,0.50432
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:20.50Z,117.496,9.1123,30.2192,116.483,0.50464
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:20.75Z,117.495,9.1123,30.2189,116.482,0.50013
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:21.00Z,117.496,9.1125,30.2189,116.483,0.50399
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:21.25Z,117.497,9.1123,30.2192,116.484,0.50496
24244,2023-09-01T07:00:07Z,2023-09-01T07:00:21.50Z,117.497,9.1123,30.2189,116.484,0.50335
